prefix,function,expansion
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '5', 'mul', 's+', '3', 'x']",-x**5 - x**4 + 3*x,-x**4 + 3*x
"['add', 'pow', 'x', 'x', 'acos', 'mul', 's+', '3', 'x']",x**x + acos(3*x),1 + pi/2
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 'x', 'asin', 'x']",2*x**2 + x*asin(x),x**4/6 + 3*x**2
"['pow', 'add', 's+', '1', 'mul', 's-', '1', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(1 - x),-5*x**4/128 - x**3/16 - x**2/8 - x/2 + 1
"['add', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'add', 'x', 'pow', 'x', 's+', '2', 's-', '1', 'mul', 's-', '1', 'mul', 'x', 'mul', 'pow', 'cos', 'add', 'x', 'pow', 'x', 's+', '2', 's-', '1', 'sin', 'x']",x**2/cos(x**2 + x) - x*sin(x)/cos(x**2 + x),x**4/6
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '3', 'mul', 's+', '2', 'pow', 'x', 's+', '6']",2*x**6 + 2*x**3,2*x**3
"['mul', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'acot', 'x']",2*x**2*acot(x),-2*x**3 + pi*x**2
"['add', 's-', '1', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '1', '8', 'add', 'mul', 's-', '4', '3', '0', '9', '8', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's-', '4', '1', '3', '8', '5', 'pow', 'x', 's+', '8', 'add', 'mul', 's-', '1', '8', '5', '2', '8', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's-', '1', '6', '2', '3', '3', 'pow', 'x', 's+', '6', 'add', 'mul', 's-', '3', '0', '6', '0', 'pow', 'x', 's+', '1', '4', 'add', 'mul', 's-', '2', '4', '4', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', '5', '3', 'pow', 'x', 's+', '1', '6', 'add', 'mul', 's-', '1', '2', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '1', '6', 'x', 'add', 'mul', 's+', '1', '8', 'pow', 'x', 's+', '1', '7', 'add', 'mul', 's+', '6', '3', '5', 'pow', 'x', 's+', '3', 'add', 'mul', 's+', '8', '1', '6', 'pow', 'x', 's+', '1', '5', 'add', 'mul', 's+', '7', '1', '4', '3', 'pow', 'x', 's+', '5', 'add', 'mul', 's+', '8', '5', '6', '5', 'pow', 'x', 's+', '1', '3', 'add', 'mul', 's+', '2', '9', '0', '7', '0', 'pow', 'x', 's+', '7', 'add', 'mul', 's+', '3', '1', '6', '2', '6', 'pow', 'x', 's+', '1', '1', 'add', 'mul', 's+', '4', '7', '1', '3', '5', 'pow', 'x', 's+', '9', 'tan', 'x']",-x**18 + 18*x**17 - 153*x**16 + 816*x**15 - 3060*x**14 + 8565*x**13 - 18528*x**12 + 31626*x**11 - 43098*x**10 + 47135*x**9 - 41385*x**8 + 29070*x**7 - 16233*x**6 + 7143*x**5 - 2445*x**4 + 635*x**3 - 120*x**2 + 16*x + tan(x) - 1,-2445*x**4 + 1906*x**3/3 - 120*x**2 + 17*x - 1
"['add', 'mul', 'pow', 'cos', 'pow', 'x', 'x', 's-', '1', 'acos', 'x', 'mul', 'pow', 'cos', 'pow', 'x', 'x', 's-', '1', 'tan', 'x']",tan(x)/cos(x**x) + acos(x)/cos(x**x),pi/(2*cos(1))
"['add', 'mul', 's-', '1', 'x', 'acot', 'mul', 's+', '4', 'pow', 'pow', 'x', 's+', '8', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",-x + acot(4*sqrt(x**8)),pi/2
"['pow', 'add', 's+', '3', 'x', 's-', '1']",1/(x + 3),x**4/243 - x**3/81 + x**2/27 - x/9 + 1/3
"['add', 'pow', 'x', 's+', '2', 'mul', 's+', '5', 'pow', 'x', 's+', '3']",5*x**3 + x**2,5*x**3 + x**2
"['add', 'x', 'mul', 'x', 'ln', 'add', 'pow', 'x', 's+', '2', 'cos', 's+', '1']",x*log(x**2 + cos(1)) + x,x**3/cos(1) + x*(log(cos(1)) + 1)
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'add', 'mul', 'x', 'tan', 'mul', 's+', '2', 'x', 'acos', 'x']",-x**2 + x*tan(2*x) + x + acos(x),8*x**4/3 - x**3/6 + x**2 + pi/2
"['add', 'x', 'add', 'pow', 'x', 's+', '5', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '4', 'mul', 's+', '6', 'pow', 'x', 's+', '3']",x**5 + 4*x**4 + 6*x**3 + 4*x**2 + x,4*x**4 + 6*x**3 + 4*x**2 + x
"['add', 'pow', 'x', 's+', '2', 'mul', 'x', 'pow', 'add', 'x', 'acos', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",x**2 + x*sqrt(x + acos(x)),-sqrt(2)*x**4/(12*sqrt(pi)) + x**2 + sqrt(2)*sqrt(pi)*x/2
"['mul', 'x', 'ln', 'add', 'mul', 's-', '2', 'x', 'cos', 'x']",x*log(-2*x + cos(x)),-11*x**4/3 - 5*x**3/2 - 2*x**2
"['add', 'x', 'add', 'pow', 'x', 's+', '7', 'mul', 's-', '1', 'pow', 'x', 's+', '3']",x**7 - x**3 + x,-x**3 + x
"['add', 'pow', 'cos', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '4']",-x**4 + sqrt(cos(x)),-97*x**4/96 - x**2/4 + 1
"['add', 'mul', 's-', '1', 'cos', 'add', 'pow', 'x', 's+', '5', 'mul', 's-', '1', 'x', 'mul', 's+', '2', 'x']",2*x - cos(x**5 - x),-x**4/24 + x**2/2 + 2*x - 1
"['add', 'x', 'mul', 'x', 'exp', 'mul', 's-', '1', 'x']",x + x*exp(-x),-x**4/6 + x**3/2 - x**2 + 2*x
"['asin', 'mul', 'pow', 'x', 's+', '3', 'pow', 'cos', 'x', 's-', '1']",asin(x**3/cos(x)),x**3
"['add', 'mul', 's-', '1', 'pow', 'exp', 'x', 'x', 'mul', 's+', '3', 'x']",3*x - exp(x)**x,-x**4/2 - x**2 + 3*x - 1
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '7', 'mul', 'x', 'acot', 'add', 'x', 'pow', 'x', 's+', '2']",x**7 + x**2 + x*acot(x**2 + x) + x,x**4/3 - x**3 + x*(1 + pi/2)
"['mul', 'x', 'exp', 'pow', 'cos', 'x', 's+', '4']",x*exp(cos(x)**4),-2*E*x**3 + E*x
"['mul', 'pow', 'x', 's+', '3', 'pow', 'add', 'pow', 'x', 's+', '6', 'cos', 'mul', 'x', 'sin', 'x', 's-', '1']",x**3/(x**6 + cos(x*sin(x))),x**3
"['add', 'mul', 's-', '1', 'mul', 'x', 'mul', 'pow', 'cos', 'x', 's+', '3', '6', 'exp', 'x', 'cos', 'x']",-x*exp(x)*cos(x)**36 + cos(x),143*x**4/8 + 35*x**3/2 - 3*x**2/2 - x + 1
"['add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '9']",x**9 + x**2,x**2
"['add', 's+', '3', '2', 'add', 'x', 'asin', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",x + asin(x**2 - x) + 32,x**4/2 - x**3/6 + x**2 + 32
"['mul', 's+', '2', 'mul', 'x', 'acot', 'mul', 's+', '2', 'x']",2*x*acot(2*x),16*x**4/3 - 4*x**2 + pi*x
"['add', 'pow', 'x', 's+', '8', 'add', 'pow', 'x', 's+', '2', '4', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '2', '0', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '6', 'add', 'mul', 'pow', 'x', 's+', '4', 'pow', 'cos', 'x', 's+', '4', 'add', 'mul', 's-', '1', '2', 'mul', 'pow', 'x', 's+', '1', '1', 'cos', 'x', 'add', 'mul', 's-', '1', '2', 'mul', 'pow', 'x', 's+', '1', '5', 'cos', 'x', 'add', 'mul', 's-', '4', 'mul', 'pow', 'x', 's+', '5', 'pow', 'cos', 'x', 's+', '3', 'add', 'mul', 's-', '4', 'mul', 'pow', 'x', 's+', '7', 'cos', 'x', 'add', 'mul', 's-', '4', 'mul', 'pow', 'x', 's+', '9', 'pow', 'cos', 'x', 's+', '3', 'add', 'mul', 's-', '4', 'mul', 'pow', 'x', 's+', '1', '9', 'cos', 'x', 'add', 'mul', 's+', '6', 'mul', 'pow', 'x', 's+', '6', 'pow', 'cos', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'mul', 'pow', 'x', 's+', '1', '4', 'pow', 'cos', 'x', 's+', '2', 'mul', 's+', '1', '2', 'mul', 'pow', 'x', 's+', '1', '0', 'pow', 'cos', 'x', 's+', '2']",x**24 + 4*x**20 - 4*x**19*cos(x) + 6*x**16 - 12*x**15*cos(x) + 6*x**14*cos(x)**2 + 4*x**12 - 12*x**11*cos(x) + 12*x**10*cos(x)**2 - 4*x**9*cos(x)**3 + x**8 - 4*x**7*cos(x) + 6*x**6*cos(x)**2 - 4*x**5*cos(x)**3 + x**4*cos(x)**4,x**4
"['add', 'x', 'asin', 'add', 'x', 'asin', 'tan', 'x']",x + asin(x + asin(tan(x))),11*x**3/6 + 3*x
"['add', 'pow', 'cos', 'x', 's+', '4', 'add', 'pow', 'tan', 'x', 's+', '4', 'add', 'mul', 's+', '1', '6', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '4', 'mul', 'pow', 'cos', 'x', 's+', '3', 'tan', 'x', 'add', 'mul', 's+', '4', 'mul', 'pow', 'tan', 'x', 's+', '3', 'cos', 'x', 'add', 'mul', 's+', '6', 'mul', 'pow', 'cos', 'x', 's+', '2', 'pow', 'tan', 'x', 's+', '2', 'add', 'mul', 's+', '8', 'mul', 'x', 'pow', 'cos', 'x', 's+', '3', 'add', 'mul', 's+', '8', 'mul', 'x', 'pow', 'tan', 'x', 's+', '3', 'add', 'mul', 's+', '2', '4', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'x', 's+', '2', 'add', 'mul', 's+', '2', '4', 'mul', 'pow', 'x', 's+', '2', 'pow', 'tan', 'x', 's+', '2', 'add', 'mul', 's+', '3', '2', 'mul', 'pow', 'x', 's+', '3', 'cos', 'x', 'add', 'mul', 's+', '3', '2', 'mul', 'pow', 'x', 's+', '3', 'tan', 'x', 'add', 'mul', 's+', '2', '4', 'mul', 'x', 'mul', 'pow', 'cos', 'x', 's+', '2', 'tan', 'x', 'add', 'mul', 's+', '2', '4', 'mul', 'x', 'mul', 'pow', 'tan', 'x', 's+', '2', 'cos', 'x', 'mul', 's+', '4', '8', 'mul', 'pow', 'x', 's+', '2', 'mul', 'cos', 'x', 'tan', 'x']",16*x**4 + 32*x**3*cos(x) + 32*x**3*tan(x) + 24*x**2*cos(x)**2 + 48*x**2*cos(x)*tan(x) + 24*x**2*tan(x)**2 + 8*x*cos(x)**3 + 24*x*cos(x)**2*tan(x) + 24*x*cos(x)*tan(x)**2 + 8*x*tan(x)**3 + cos(x)**4 + 4*cos(x)**3*tan(x) + 6*cos(x)**2*tan(x)**2 + 4*cos(x)*tan(x)**3 + tan(x)**4,122*x**4/3 + 274*x**3/3 + 52*x**2 + 12*x + 1
"['add', 'pow', 'x', 's+', '3', 'mul', 's-', '1', 'mul', 'x', 'cos', 'x']",x**3 - x*cos(x),3*x**3/2 - x
"['add', 'x', 'mul', 's+', '2', 'ln', 'cos', 'x']",x + 2*log(cos(x)),-x**4/6 - x**2 + x
"['add', 'pow', 'x', 's+', '2', 'mul', 'x', 'asin', 'asin', 'x']",x**2 + x*asin(asin(x)),x**4/3 + 2*x**2
"['add', 's+', '1', 'add', 'x', 'pow', 'sin', 'x', 's+', '4']",x + sin(x)**4 + 1,x**4 + x + 1
"['add', 'pow', 'x', 's+', '4', 'add', 'pow', 'x', 's+', '6', 'mul', 's-', '2', 'pow', 'x', 's+', '5']",x**6 - 2*x**5 + x**4,x**4
"['mul', 's+', '2', 'mul', 'x', 'pow', 'add', 's+', '1', 'mul', 's+', '2', 'pow', 'x', 's+', '3', 's-', '1']",2*x/(2*x**3 + 1),-4*x**4 + 2*x
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'mul', 'x', 'mul', 'exp', 'x', 'exp', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",x**2 + x*exp(x)*exp(-x**2) + x,-5*x**4/6 - x**3/2 + 2*x**2 + 2*x
"['add', 'x', 'add', 'pow', 'x', 's+', '6', 'pow', 'cos', 'x', 's+', '4']",x**6 + x + cos(x)**4,5*x**4/3 - 2*x**2 + x + 1
"['tan', 'mul', 'x', 'pow', 'acot', 'tan', 'x', 's-', '1']",tan(x/acot(tan(x))),32*x**4/pi**4 + 32*x**3/(3*pi**3) + 4*x**2/pi**2 + 2*x/pi
"['add', 'mul', 's-', '1', 'mul', 'x', 'sin', 'x', 'asin', 'x']",-x*sin(x) + asin(x),x**4/6 + x**3/6 - x**2 + x
"['mul', 'pow', 'x', 's+', '2', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1']",x**2/sqrt(1 - x**2),x**4/2 + x**2
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '9', 'acos', 'x']",-x**9 + acos(x),-x**3/6 - x + pi/2
"['mul', 's-', '1', 'mul', 'x', 'mul', 'pow', 'add', 'x', 'exp', 'mul', 's+', '2', 'x', 's-', '1', 'exp', 'mul', 's+', '2', 'x']",-x*exp(2*x)/(x + exp(2*x)),7*x**4 - 3*x**3 + x**2 - x
"['cos', 'add', 'x', 'mul', 's+', '2', 'pow', 'x', 'mul', 's+', '5', 'pow', 's+', '2', 's-', '1']",cos(2*x**(5/2) + x),1 - x**2/2
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'pow', 'tan', 'pow', 'x', 's+', '3', 's+', '2']",x**2*tan(x**3)**2 - x**2,-x**2
"['mul', 's-', '1', 'sin', 'add', 'x', 'mul', 's-', '1', 'exp', 'x']",-sin(x - exp(x)),x**4*(-3*sin(1) + cos(1))/24 + x**3*cos(1)/6 + x**2*cos(1)/2 + sin(1)
"['add', 'pow', 'x', 's+', '2', 'cos', 'pow', 'x', 'add', 'x', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",x**2 + cos(x**(-x**2 + x)),cos(1)
"['add', 'mul', 's+', '3', 'x', 'mul', 'x', 'mul', 'cos', 'x', 'exp', 'x']",x*exp(x)*cos(x) + 3*x,-x**4/3 + x**2 + 4*x
"['pow', 'acos', 'x', 'x']",acos(x)**x,x**4*(-2*(32/pi**2 + 4)/pi - 48*log(pi/2)/pi**2 - 24*log(pi/2)**2/pi + log(pi/2)**4 + 48/pi**2)/24 + x**3*(-12*log(pi/2)/pi - 12/pi**2 + log(pi/2)**3)/6 + x**2*(-4/pi + log(pi/2)**2)/2 + x*log(pi/2) + 1
"['mul', 's-', '1', 'mul', 'x', 'pow', 'acot', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 's+', '5']",-x*acot(sqrt(x))**5,-pi**5*x/32
"['add', 'x', 'mul', 'x', 'acot', 'mul', 's+', '2', 'pow', 'x', 's+', '3']",x*acot(2*x**3) + x,-2*x**4 + x*(1 + pi/2)
"['mul', 'pow', 'x', 's+', '2', 'acos', 'pow', 'sin', 'x', 's+', '2']",x**2*acos(sin(x)**2),-x**4 + pi*x**2/2
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '6', 'mul', 's+', '4', 'x']",-x**6 + 4*x,4*x
"['mul', 'pow', 's+', '2', 'mul', 's-', '1', 'x', 'pow', 'cos', 'add', 's+', '1', 'pow', 'x', 's+', '4', 'x']",cos(x**4 + 1)**x/2**x,x**4*(log(cos(1))**4 + log(2)**4 - 4*log(2)*log(cos(1))**3 - 4*log(2)**3*log(cos(1)) + 6*log(2)**2*log(cos(1))**2)/24 + x**3*(3*log(2)**2*log(cos(1)) - 3*log(2)*log(cos(1))**2 - log(2)**3 + log(cos(1))**3)/6 + x**2*(log(cos(1))**2 + log(2)**2 - 2*log(2)*log(cos(1)))/2 + x*(-log(2) + log(cos(1))) + 1
"['mul', 'pow', 'x', 's+', '2', 'pow', 'add', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '2', 'x', 'cos', 'x', 's-', '1']",x**2/(x**2 + 2*x + cos(x)),7*x**4/2 - 2*x**3 + x**2
"['pow', 'tan', 'add', 'x', 'cos', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(tan(x + cos(sqrt(x)))),sqrt(tan(1))
"['add', 'mul', 's+', '2', 'x', 'cos', 'mul', 'x', 'cos', 'x']",2*x + cos(x*cos(x)),13*x**4/24 - x**2/2 + 2*x + 1
"['pow', 'acot', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '7', 'add', 'pow', 'x', 's+', '1', '3', 'add', 'mul', 's-', '2', '0', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's-', '6', 'pow', 'x', 's+', '8', 'add', 'mul', 's-', '6', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '9', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '1', '1', 's-', '1']",1/acot(x**13 - 6*x**12 + 15*x**11 - 20*x**10 + 15*x**9 - 6*x**8 + x**7 + x**2),8*x**4/pi**3 + 4*x**2/pi**2 + 2/pi
"['add', 'mul', 'x', 'pow', 'sin', 'x', 's+', '3', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",-x**2*sin(x) + x*sin(x)**3,x**4 - x**3
"['asin', 'pow', 'cos', 'pow', 'x', 'pow', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'x', 's+', '4']",asin(cos(x**(x**(x/2)))**4),pi/2
"['add', 'x', 'cos', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",x + cos(x**2 - x),-11*x**4/24 + x**3 - x**2/2 + x + 1
"['add', 'pow', 'x', 's+', '2', 'add', 'mul', 'x', 'acos', 'x', 'mul', 's-', '1', 'mul', 'x', 'tan', 'x']",x**2 - x*tan(x) + x*acos(x),-x**4/2 - x**2 + pi*x/2
"['cos', 'add', 'pow', 'x', 'x', 'tan', 'x']",cos(x**x + tan(x)),cos(1)
"['mul', 's+', '4', 'mul', 'pow', 'x', 's+', '2', 'pow', 'acos', 'pow', 'x', 's+', '6', 's+', '2']",4*x**2*acos(x**6)**2,pi**2*x**2
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'cos', 'x']",-x**3 + x**2*cos(x) + x**2 + x,-x**4/2 - x**3 + 2*x**2 + x
"['sin', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '1', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sin(sqrt(1 - x**12)),sin(1)
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '3', 'pow', 'x', 's+', '7']",x**7 + x**3 + x**2,x**3 + x**2
"['cos', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",cos(x**2*sin(x) - x**2),1 - x**4/2
"['add', 'mul', 'x', 'pow', 'acos', 'x', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'acos', 'x']",x**2*acos(x) + x*acos(x)**2,-pi*x**4/6 - pi*x**2/2 + pi**2*x/4
"['pow', 'cos', 'add', 'pow', 'x', 's+', '3', 'mul', 's+', '3', 'pow', 'x', 's+', '2', 's-', '1']",1/cos(x**3 + 3*x**2),9*x**4/2 + 1
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'x', 'acos', 'x']",x**2 - x*acos(x),x**4/6 + 2*x**2 - pi*x/2
"['acot', 'acot', 'add', 'x', 'add', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's-', '1', 'mul', 'x', 'cos', 'x']",acot(acot(x**(1/4) - x*cos(x) + x)),acot(pi/2)
"['add', 'pow', 'x', 's+', '3', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '2', 'mul', 'x', 'exp', 'x']",x**3 + 3*x**2 + x*exp(x),x**4/6 + 3*x**3/2 + 4*x**2 + x
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '1', '0', 'mul', 's-', '2', 'pow', 'x', 's+', '6']",x**10 - 2*x**6 + x**2,x**2
"['add', 'pow', 'asin', 'x', 's+', '5', 'add', 'mul', 's+', '2', 'x', 'add', 'mul', 's+', '3', '2', 'pow', 'x', 's+', '5', 'add', 'mul', 's+', '1', '0', 'mul', 'x', 'pow', 'asin', 'x', 's+', '4', 'add', 'mul', 's+', '4', '0', 'mul', 'pow', 'x', 's+', '2', 'pow', 'asin', 'x', 's+', '3', 'add', 'mul', 's+', '8', '0', 'mul', 'pow', 'x', 's+', '3', 'pow', 'asin', 'x', 's+', '2', 'mul', 's+', '8', '0', 'mul', 'pow', 'x', 's+', '4', 'asin', 'x']",32*x**5 + 80*x**4*asin(x) + 80*x**3*asin(x)**2 + 40*x**2*asin(x)**3 + 10*x*asin(x)**4 + 2*x + asin(x)**5,2*x
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '3', 'add', 'mul', 's+', '2', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",-x**3 + 2*x**2 + 2*x,-x**3 + 2*x**2 + 2*x
"['pow', 'add', 'x', 'cos', 'pow', 'x', 's+', '4', 's-', '1']",1/(x + cos(x**4)),x**4 - x**3 + x**2 - x + 1
"['mul', 's-', '1', 'mul', 'x', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'mul', 's+', '2', 'x', 's-', '1']",-x/(x**5 + 2*x - 1),8*x**4 + 4*x**3 + 2*x**2 + x
"['add', 's-', '1', 'add', 'pow', 'x', 's+', '3', 'add', 'pow', 'sin', 'x', 's+', '3', 'add', 'mul', 's-', '3', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '3', 'pow', 'sin', 'x', 's+', '2', 'add', 'mul', 's+', '2', 'x', 'add', 'mul', 's+', '3', 'sin', 'x', 'add', 'mul', 's-', '6', 'mul', 'x', 'sin', 'x', 'add', 'mul', 's+', '3', 'mul', 'x', 'pow', 'sin', 'x', 's+', '2', 'mul', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",x**3 + 3*x**2*sin(x) - 3*x**2 + 3*x*sin(x)**2 - 6*x*sin(x) + 2*x + sin(x)**3 - 3*sin(x)**2 + 3*sin(x) - 1,2*x**4 + 15*x**3/2 - 12*x**2 + 5*x - 1
"['pow', 'sin', 's+', '1', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(sin(1)),sqrt(sin(1))
"['acos', 'add', 'pow', 'x', 's+', '5', 'mul', 'x', 'tan', 'exp', 'x']",acos(x**5 + x*tan(exp(x))),x**4*(-16*(1 + tan(1)**2)*tan(1)**2 - 24*(1 + tan(1)**2)*tan(1) - 6*(2 + 2*tan(1)**2)*tan(1)**2 - 8*(1 + tan(1)**2)**2 - 4*tan(1)**2 - 4)/24 + x**3*(-6*(1 + tan(1)**2)*tan(1) - 3*tan(1)**2 - tan(1)**3 - 3)/6 + x**2*(-2*tan(1)**2 - 2)/2 - x*tan(1) + pi/2
"['add', 'pow', 'x', 's+', '2', 'acos', 'pow', 'x', 's+', '2']",x**2 + acos(x**2),pi/2
"['add', 'x', 'mul', 'x', 'cos', 'pow', 'x', 's+', '7']",x*cos(x**7) + x,2*x
"['pow', 'add', 'acot', 'x', 'sin', 'pow', 'x', 's+', '3', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(sin(x**3) + acot(x)),sqrt(2)*x**4*(-15/(2*pi**3) + 16/pi)/(24*sqrt(pi)) + sqrt(2)*x**3*(4 - 3/(2*pi**2))/(6*sqrt(pi)) - sqrt(2)*x**2/(4*pi**(3/2)) - sqrt(2)*x/(2*sqrt(pi)) + sqrt(2)*sqrt(pi)/2
"['sin', 'mul', 'pow', 'x', 's+', '2', 'exp', 'sin', 'pow', 'x', 's+', '5']",sin(x**2*exp(sin(x**5))),x**2
"['mul', 'exp', 'x', 'exp', 'mul', 's+', '1', '6', 'pow', 'x', 's+', '4']",exp(x)*exp(16*x**4),385*x**4/24 + x**3/6 + x**2/2 + x + 1
"['add', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'cos', 'x']",cos(x) + 1/2,x**4/24 - x**2/2 + 3/2
"['tan', 'add', 'x', 'mul', 's+', '3', '2', 'pow', 'x', 's+', '5']",tan(32*x**5 + x),x**3/3 + x
"['add', 'pow', 'x', 's+', '2', 'cos', 'pow', 'x', 'mul', 's+', '5', 'pow', 's+', '2', 's-', '1']",x**2 + cos(x**(5/2)),x**2 + 1
"['mul', 's-', '1', 'cos', 'pow', 'x', 's+', '2']",-cos(x**2),x**4/2 - 1
"['tan', 'add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'pow', 'x', 's+', '3']",tan(2*x**3 + 2*x**2),2*x**3 + 2*x**2
"['add', 'mul', 's-', '1', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '6', 'cos', 'x']",-x**6 - x + cos(x),x**4/24 - x**2/2 - x + 1
"['add', 'mul', 's-', '1', 'x', 'exp', 'pow', 'x', 'mul', 's+', '3', 'pow', 's+', '2', 's-', '1']",-x + exp(x**(3/2)),1 - x
"['add', 'mul', 's-', '1', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '1', '2', 'acot', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",-x**12 - x + acot(x**2*sin(x)),-x**3 - x + pi/2
"['add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '2', 'pow', 'tan', 'pow', 'acot', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 's-', '1']",-x**2/tan(sqrt(acot(x))) + 1,x**4*(1 + tan(sqrt(2)*sqrt(pi)/2)**2)*(-12*(1 + tan(sqrt(2)*sqrt(pi)/2)**2)/(pi*tan(sqrt(2)*sqrt(pi)/2)**3) - 6*sqrt(2)/(pi**(3/2)*tan(sqrt(2)*sqrt(pi)/2)**2) + 12/(pi*tan(sqrt(2)*sqrt(pi)/2)))/24 - sqrt(2)*x**3*(1 + tan(sqrt(2)*sqrt(pi)/2)**2)/(2*sqrt(pi)*tan(sqrt(2)*sqrt(pi)/2)**2) - x**2/tan(sqrt(2)*sqrt(pi)/2) + 1
"['mul', 'x', 'ln', 'sin', 's+', '1']",x*log(sin(1)),x*log(sin(1))
